limited 1467860144
yikes 2193551418
sleep 1467814783,1467816665,1467818603,1467834053,1467839450,1467842377,1467844097,1467860904,2193553841,2193553841
asian 1467816665
hanging 1467839477
francesca 1467843647
hate 1467814438,1467818603,1467822384,1467825863,1467834053,1467840552,1467860144
forget 1467821338
looking 2193578196
buddy 1467859066
snowing 1467812416
bike 2193553366,2193553366
voted 2193552958
sorry 1467817374,1467820835,1467821715,1467825411,1467835305,1467838419,1467838419,1467856821,2193551954,2193577680
worth 2193574897
every 1467815753
updates 2193578739
examen 2193578151
school 1467810672,1467824664,1467855673,2193575499,2193576442,2193601966
cause 1467816749
wednesday 1467835577,1467839816
oooo 2193577517
neveer 2193579092
heading 2193551765
enjoy 1467836111
tired 1467842377,1467861095,2193529779
phones 2193552895
direct 1467842607
frosted 2193576534
second 1467854706,2193578395
n 1467839816,1467842832
even 1467817502,1467824199,1467857297,2193553257,2193576691
hahahahahahahahahahahahahaha 2193576512
fingers 2193552448
poison 2193551685
new 1467815923,1467833736,1467837762,1467858363,1467859558,2193551398,2193551965,2193552958,2193575729,2193576573
tips 1467856919
mtxx 2193574897
ever 2193601966
told 1467842107,2193552388
ated 1467814119
med 1467833690
mea 1467838419
never 1467812771,1467823770,1467823770
meh 1467815753
megggiiiee 2193551398
105 2193575338
kids 1467817502,1467844140,2193551690
study 1467818020
itunes 2193554237
credit 2193576530
theres 1467839737,2193552958,2193577021
eyebrows 1467852067
counts 1467812771
would 1467822389,1467837819,2193551788,2193553605,2193574897,2193578348
arms 1467833799
call 1467814438
25th 1467859066
tell 1467817225,1467838419,1467859408,2193554201,2193577641
posting 2193551468
haha 1467825411,1467841897,2193529738,2193575834,2193576003,2193577517
hurt 1467812964,1467840386
phone 1467824199,1467833672
httpblipfm8bmo7 2193576512
pouco 2193575755
tampa 2193553224
must 1467841189
shoot 2193575000
room 2193551494
player 2193551043
mo 1467824967
work 1467815988,1467818007,1467822918,1467836583,1467837384,1467841189,1467845157,1467852789,1467856352,2193552033,2193553301,2193554053,2193575912,2193579489
manwas 1467819812
mr 2193552105
gmt1 1467817374
goood 2193577391
muahaha 1467835305
india 1467842832
early 1467858627,1467859558,2193576264
mornin 2193577616
